id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,270,2,80,2025-08-24,0.41,2,94,4,C0121120491
11169,Lovely Studio Room: Available for long w/ends,40965,Judith L,,North Cambridge,42.3963,-71.13135,Private room,126,3,190,2025-07-18,1.01,3,311,8,
19581,"Furnished suite, Windsor",74249,Marc E,,The Port,42.36258,-71.09603,Private room,183,10,12,2025-08-30,0.07,3,294,1,
27498,Furnished suite 2 @ the Windsor,74249,Marc E,,The Port,42.36254,-71.09698,Private room,238,5,27,2025-03-22,0.15,3,341,1,
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,300,3,455,2025-09-13,2.59,1,301,28,STR-15661
106474,large furnished suite in Central sq,74249,Marc E,,The Port,42.36274,-71.09768,Private room,242,5,23,2024-06-09,0.13,3,349,0,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,225,2,49,2025-06-08,0.28,2,17,3,CO121110491
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Mid-Cambridge,42.36771,-71.1058,Entire home/apt,,28,172,2019-11-10,1.01,9,0,0,C0194540491
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,,2,91,2025-08-12,0.56,2,1,11,STR-17249
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,12,2013-10-25,0.08,1,365,0,
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Katharine Ceremsak,,North Cambridge,42.39346,-71.13137,Entire home/apt,225,2,412,2025-08-19,2.60,1,240,23,C0262370491
742574,See Yourself in Central Square,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,141,30,134,2024-08-05,0.86,2,119,0,
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,56,3,576,2025-08-10,3.80,1,73,33,
910408,Cozy Mid-Cambridge Charmer,4883794,Melissa,,Mid-Cambridge,42.37122,-71.10797,Entire home/apt,150,30,13,2025-08-30,0.09,1,269,3,
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,123,91,15,2023-12-10,0.10,1,119,0,
1080789,Entire Fabulous home: Available occasionally!,40965,Judith L,,North Cambridge,42.39426,-71.13258,Entire home/apt,405,10,0,,,3,320,0,C0169140491
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,151,21,54,2025-02-09,0.36,5,361,1,
1140201,"Great Room Near Harvard/MIT/BU, bikes available",6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,100,21,84,2025-05-01,0.56,5,317,2,
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,204,2,710,2025-09-25,4.71,1,304,69,STR-14611
1154298,Quiet private room in N. Cambridge,6325607,John,,North Cambridge,42.39892,-71.13527,Private room,61,1,529,2025-09-22,3.55,1,343,24,C0244870491
1215512,Minutes to Harvard Square,2066283,Chunbai,,Strawberry Hill,42.37656,-71.15029,Entire home/apt,,91,17,2022-10-17,0.13,1,181,0,
1225831,"Victorian Charm MIT/Hrvd/
CentralSq, private deck",3380576,Paul,,The Port,42.36665,-71.09823,Entire home/apt,179,3,712,2025-09-17,4.75,1,248,64,STR-14804
1276962,"Cambridge Apt, walk to MIT, Harvard",6122485,Wendy,,The Port,42.36802,-71.10027,Entire home/apt,175,3,120,2024-02-25,0.97,1,28,0,13895
1404377,Renovated Brownstone - MIT/Kendall Square,7579202,Jenny,,East Cambridge,42.36892,-71.08496,Private room,,3,336,2022-06-03,2.27,2,0,0,STR-14761
1406416,City living at its finest!,7579202,Jenny,,East Cambridge,42.37121,-71.08116,Private room,,3,227,2022-06-15,1.58,2,0,0,STR-14761
1502981,"Nice room, Porter Square / Harvard",8029934,Stuart,,Agassiz,42.3868,-71.11801,Private room,,6,130,2024-06-09,0.93,2,0,0,STR-213949
1632003,2 Cozy Rooms Near Harvard Square with Private Bath,8530114,Colleen,,Mid-Cambridge,42.37303,-71.10539,Private room,250,3,110,2025-09-27,0.75,1,87,19,
1711476,"Serene & cozy 1BR oasis, walk to  Harvard Square!",3402394,Case,,Mid-Cambridge,42.37301,-71.1041,Entire home/apt,130,31,74,2025-08-09,0.64,2,299,3,
1799157,Guesthouse (Rear),7757356,Alan,,Strawberry Hill,42.37595,-71.15452,Private room,92,31,41,2025-06-17,0.28,1,281,2,C0258990491
1893287,Bright Convenient Apt Harvard / MIT,9553483,Jookun,,The Port,42.36571,-71.1023,Entire home/apt,142,3,303,2025-09-16,2.10,1,163,35,C0105440491
1935343,"Cute, clean & it’s all yours-1 bed- great location",10014448,Lucia,,Cambridgeport,42.36055765500599,-71.1123166016873,Entire home/apt,139,2,400,2025-09-25,2.83,1,304,36,53615
1984737,Charming Victorian Home Near Harvard Square,8824696,Steve,,West Cambridge,42.38248,-71.13545,Entire home/apt,298,2,406,2025-08-31,2.94,2,159,9,STR-13324
2030680,Cozy Room in a Charming Townhouse,10427720,Malgorzata A,,Strawberry Hill,42.37837,-71.15249,Private room,119,30,37,2025-08-05,0.27,2,319,3,
2038283,Stay Across from Harvard's Campus!,4521987,Kristin Anjela,,Mid-Cambridge,42.37247,-71.11381,Entire home/apt,143,5,259,2025-09-12,1.82,1,81,30,ROC-19403721-002
2092181,Haven in Cambridge (entire place!),10641173,Randi,,Wellington-Harrington,42.37312,-71.0901,Entire home/apt,313,1,51,2023-05-24,0.37,1,17,0,STR-20621
